"Option group name";"Option name";"Option value"
"Health a year ago";"Much worse now than one year ago";5
Limits;"Yes, limited a lot";1
Limits;"Yes, limited a little";2
Limits;"No, not limited at all";3
med_class_dropdown;"ACE inhibitor (ACEi)";1
med_class_dropdown;"Angiotensin receptor blocker (ARB)";2
med_class_dropdown;"Loop diuretics";3
med_class_dropdown;"Anti-aldosterone diurectics";4
med_class_dropdown;"Thiazide diuretics";5
med_class_dropdown;"Other diurectics";6
med_class_dropdown;"Lipid lowering drugs";7
med_class_dropdown;Anti-platelets;8
med_class_dropdown;Anti-coagulants;9
med_class_dropdown;"Prednisolone (oral administration)";10
med_class_dropdown;"Methylprednisolone (IV pulse therapy)";11
med_class_dropdown;Cyclophosphamide;12
med_class_dropdown;"Cyclosporin A";13
med_class_dropdown;Tacrolimus;14
med_class_dropdown;"Mycofenolate Mofetil (MMF)";15
med_class_dropdown;Azathioprine;16
med_class_dropdown;Chloorambucil;17
med_class_dropdown;Rituximab;18
med_class_dropdown;"Oral anti-diabetics";19
med_class_dropdown;"Insulin s.c.";20
med_class_dropdown;"Anti-Blyss (belumimab)";21
med_class_dropdown;ACTH;22
med_class_dropdown;Ofatumumab;23
med_class_dropdown;NSAID;24
med_class_dropdown;Eculizumab;25
med_class_dropdown;Bortezomib;26
med_class_dropdown;Daratumumab;27
med_class_dropdown;IVIG;29
med_class_dropdown;"Electrolyte supplements";30
med_class_dropdown;"Other antihypertensives";31
med_class_dropdown;"Proton pump inhibitors (PPIs)";32
med_class_dropdown;"Other medication";33
"My lips feel dry";Never;1
"My lips feel dry";Seldom;2
"My lips feel dry";Sometimes;3
"My lips feel dry";Regularly;4
"My lips feel dry";"Almost all the time";5
"None-Very severe";None;1
"None-Very severe";"Very mild";2
"None-Very severe";Mild;3
"None-Very severe";Moderate;4
"None-Very severe";Severe;5
"None-Very severe";"Very severe";6
"Not at all-Extremely";"Not at all";1
"Not at all-Extremely";Slightly;2
"Not at all-Extremely";Moderately;3
"Not at all-Extremely";"Quite a bit";4
"Not at all-Extremely";Extremely;5
"Not at all-Extremely (pain)";"Not at all";1
"Not at all-Extremely (pain)";"A little bit";2
"Not at all-Extremely (pain)";Moderately;3
"Not at all-Extremely (pain)";"Quite a bit";4
"Not at all-Extremely (pain)";Extremely;5
og_medunits;Unknown;0
og_medunits;ug/day;1
og_medunits;mg/day;2
og_medunits;g/day;3
og_medunits;ug/week;4
og_medunits;mg/week;5
og_medunits;g/week;6
og_smoker;No;0
og_smoker;"No, former";1
og_smoker;"Yes, current";2
og_ynu;No;0
og_ynu;Yes;1
og_ynu;Unknown;9
Position;"Lying down";1
Position;Sitting;2
Position;Standing;3
RenalDiagnosis;"Kidney stones";0
RenalDiagnosis;"Nephrotic syndrome";1
RenalDiagnosis;"Minimal change nephropathy";2
RenalDiagnosis;"Focal glomerulosclerosis";3
RenalDiagnosis;"Membranous nephropathy";4
RenalDiagnosis;"IgA nephropathy";5
RenalDiagnosis;"Henoch Schonlein Purpura/ IgA vasculitis";6
RenalDiagnosis;Glomerulonephritis;7
RenalDiagnosis;Glomerulopathy;8
RenalDiagnosis;"Lupus nephritis";9
RenalDiagnosis;"Diabetic nephropathy";10
RenalDiagnosis;"Cast nephropathy";11
RenalDiagnosis;"M. Alport";12
RenalDiagnosis;Fanconi;13
RenalDiagnosis;Other;14
sex;Transwoman;0
sex;Transman;1
Yes/No;Yes;1
Yes/No;No;0
